rank0,bpm1,nrgy2,dnce3,dB4,live5,val6,dur7,acous8,spch9
33,95,51,68,8,18,26,173,45,6
34,92,78,80,4,44,80,266,36,4
35,162,65,86,2,8,74,264,25,15
36,176,64,70,5,9,81,159,1,9
37,100,68,80,6,7,88,158,14,6
38,108,78,47,4,19,44,164,19,4
39,164,75,60,4,67,93,197,17,33
40,123,76,87,5,7,61,316,34,9
41,135,86,59,2,4,98,227,29,6
42,88,81,42,5,70,64,239,32,4
43,175,76,30,5,88,67,240,20,4
44,132,85,78,5,8,85,180,8,6
45,115,71,70,5,51,91,187,8,5
46,98,91,75,2,9,76,241,32,5
47,132,69,77,5,27,52,290,31,5
48,148,70,61,10,30,85,355,8,3
49,164,77,74,5,8,87,204,20,6
50,93,79,78,5,12,87,169,36,6
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,120,76,70,3,9,55,215,19,4
4,91,32,76,7,8,57,189,84,5
5,150,63,34,7,7,35,241,16,4
6,124,79,79,5,10,68,183,1,8
7,127,43,78,9,9,24,159,12,4
8,192,62,53,7,29,59,204,5,12
9,118,75,88,4,11,88,158,18,9
10,67,47,59,9,51,90,126,61,5
11,147,61,33,11,77,40,214,32,3
12,202,60,24,8,12,78,152,77,4
13,162,56,66,9,8,85,183,50,5
14,120,42,75,8,7,81,131,64,4
15,142,26,65,13,36,84,155,90,6
16,131,16,32,16,34,25,177,67,4
17,79,21,32,15,14,21,192,92,3
18,75,18,44,9,32,34,171,96,4
19,129,84,67,4,11,84,126,61,3
20,160,81,51,5,21,69,230,0,5
21,115,64,60,7,10,35,223,16,4
22,140,93,53,6,31,82,272,10,4
23,152,72,68,11,8,96,166,81,9
24,131,42,31,9,8,24,242,13,3
25,95,27,47,17,14,58,129,90,4
26,99,77,68,4,10,57,207,2,5
27,119,65,32,6,24,47,272,50,3
28,108,48,74,12,36,95,263,19,3
29,147,76,69,5,18,96,144,42,3
30,115,37,45,14,8,63,134,83,4
31,93,22,33,11,34,36,207,88,3
32,180,58,51,11,18,87,242,36,4
33,140,37,67,13,10,86,133,59,3
34,131,55,60,9,5,97,119,11,3
35,151,43,61,9,9,74,122,86,4
36,113,48,55,9,28,56,166,65,6
37,92,46,67,6,28,27,201,43,4
38,167,54,48,10,8,82,147,24,4
39,83,42,30,9,23,34,262,21,3
40,141,64,68,9,22,83,126,57,4
41,66,71,22,9,10,45,220,0,4
42,92,77,53,7,32,85,181,40,3
43,123,58,71,6,14,83,162,70,6
44,113,72,78,9,20,93,241,28,4
45,123,40,59,7,4,42,172,79,5
46,127,49,61,7,13,64,218,44,4
47,112,25,61,9,22,48,176,96,4
48,102,71,76,10,8,96,224,16,3
49,100,84,69,1,6,64,210,5,19
50,95,72,40,7,25,39,269,6,4
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,91,32,76,7,8,57,189,84,5
4,120,76,70,3,9,55,215,19,4
5,150,63,34,7,7,35,241,16,4
6,120,23,70,14,11,24,245,90,10
7,124,79,79,5,10,68,183,1,8
8,171,80,51,4,9,35,202,0,6
9,110,41,50,6,11,45,182,75,3
10,135,43,70,11,10,56,194,33,38
11,192,62,53,7,29,59,204,5,12
12,118,75,88,4,11,88,158,18,9
13,67,47,59,9,51,90,126,61,5
14,202,60,24,8,12,78,152,77,4
15,120,42,75,8,7,81,131,64,4
16,147,61,33,11,77,40,214,32,3
17,162,56,66,9,8,85,183,50,5
18,142,26,65,13,36,84,155,90,6
19,95,51,77,9,7,77,228,32,3
20,131,16,32,16,34,25,177,67,4
21,79,21,32,15,14,21,192,92,3
22,134,24,45,14,18,70,117,91,4
23,75,18,44,9,32,34,171,96,4
24,117,55,76,6,8,75,191,4,3
25,160,81,51,5,21,69,230,0,5
26,113,28,73,12,12,72,156,76,6
27,127,78,57,7,11,70,153,2,3
28,129,84,67,4,11,84,126,61,3
29,115,64,60,7,10,35,223,16,4
30,95,27,47,17,14,58,129,90,4
31,131,42,31,9,8,24,242,13,3
32,96,78,75,6,28,77,171,5,14
33,140,67,36,8,73,41,268,36,5
34,119,65,32,6,24,47,272,50,3
35,108,48,74,12,36,95,263,19,3
36,149,86,49,7,35,96,182,53,4
37,147,76,69,5,18,96,144,42,3
38,93,22,33,11,34,36,207,88,3
39,129,71,58,8,82,61,181,26,5
40,147,73,67,7,20,68,255,23,3
41,180,58,51,11,18,87,242,36,4
42,140,37,67,13,10,86,133,59,3
43,151,43,61,9,9,74,122,86,4
44,126,76,34,7,8,36,166,39,5
45,125,78,93,3,17,93,189,21,6
46,92,77,53,7,32,85,181,40,3
47,123,40,59,7,4,42,172,79,5
48,130,86,69,3,19,42,253,6,5
49,102,71,76,10,8,96,224,16,3
50,93,65,63,9,25,68,231,29,4
1,98,59,82,6,15,51,209,69,9
2,150,63,34,7,7,35,241,16,4
3,105,72,72,7,24,67,222,3,7
4,101,72,80,3,6,57,201,30,30
5,92,67,89,4,10,53,192,4,19
6,105,81,79,4,8,61,302,8,9
7,94,70,88,4,6,79,200,14,7
8,176,65,75,6,11,43,243,15,32
9,176,62,61,5,24,24,251,60,31
10,80,84,73,5,18,62,271,2,7
11,120,42,75,8,7,81,131,64,4
12,105,67,82,6,10,66,215,5,8
13,94,90,66,3,12,71,211,5,4
14,146,83,73,3,7,94,179,27,5
15,174,64,73,4,14,55,205,9,13
16,95,75,74,5,11,90,217,18,5
17,176,82,73,2,23,68,216,3,15
18,92,73,73,3,10,88,217,22,4
19,92,76,78,3,14,58,201,46,23
20,182,67,65,6,8,34,250,47,31
21,117,55,76,6,8,75,191,4,3
22,92,79,81,4,9,58,309,14,7
23,96,71,78,5,9,68,176,22,28
24,93,79,64,4,36,94,222,3,25
25,170,71,74,4,8,83,259,5,9
26,98,69,88,4,5,75,162,39,12
27,176,79,73,2,6,76,288,7,20
28,90,54,73,5,14,64,227,26,5
29,166,72,80,4,18,76,305,14,8
30,126,66,64,6,34,86,213,10,36
31,100,71,87,5,9,59,146,3,13
32,170,62,69,8,16,73,361,75,22
33,176,70,75,5,11,62,226,14,34
34,102,78,88,4,9,71,232,4,12
35,149,86,49,7,35,96,182,53,4
36,108,48,74,12,36,95,263,19,3
37,113,66,65,5,12,81,306,12,20
38,166,70,58,4,17,77,205,9,11
39,88,67,88,3,7,68,227,11,11
40,184,68,55,4,12,59,198,31,30
41,105,56,82,6,5,77,204,16,17
42,170,76,66,6,41,95,221,32,6
43,182,78,70,3,12,48,215,7,20
44,92,78,80,4,44,80,266,36,4
45,162,65,86,2,8,74,264,25,15
46,174,75,72,5,21,68,205,12,18
47,94,50,80,6,9,80,266,39,4
48,172,59,74,5,11,36,182,27,35
49,172,71,77,4,7,72,257,32,34
50,65,36,68,7,16,55,159,67,11
1,98,59,82,6,15,51,209,69,9
2,150,73,83,3,2,61,158,38,8
3,154,55,83,7,18,88,153,25,6
4,132,74,67,4,96,66,148,6,6
5,152,87,53,3,33,71,182,24,9
6,108,68,67,6,92,70,188,63,5
7,180,80,65,6,38,60,195,7,17
8,170,68,82,7,9,96,137,13,12
9,150,84,72,3,11,85,187,42,8
10,174,87,68,2,22,92,143,18,6
11,119,88,64,4,34,69,175,47,20
12,146,85,49,3,21,55,159,49,10
13,150,84,89,2,6,96,120,46,15
14,118,71,55,5,76,53,157,61,13
15,76,82,56,5,62,60,224,59,24
16,152,93,79,5,95,81,173,22,8
17,135,86,78,4,93,70,157,48,5
18,131,67,70,3,9,72,163,26,40
19,150,70,62,6,15,70,166,54,25
20,92,56,63,7,16,67,150,33,8
21,125,66,71,5,33,67,179,36,4
22,154,80,60,4,74,68,160,36,20
23,124,71,71,4,13,79,175,62,5
24,132,71,71,6,97,74,156,10,9
25,111,74,62,4,41,58,155,28,7
26,138,95,85,4,12,63,160,35,12
27,127,76,74,6,83,73,180,34,4
28,185,63,62,7,7,59,197,62,55
29,119,88,54,3,93,63,183,72,10
30,112,79,61,3,24,57,174,25,4
31,140,84,70,3,75,67,232,28,6
32,160,89,68,4,23,71,179,38,8
33,106,72,51,6,87,42,189,77,6
34,145,68,89,3,8,80,137,31,17
35,136,68,83,5,41,85,174,48,7
36,142,72,61,4,96,30,202,16,5
37,130,45,65,9,11,36,147,11,52
38,134,94,79,2,96,83,238,37,3
39,125,94,74,1,97,73,181,5,5
40,158,83,49,3,96,60,187,48,20
41,166,92,58,3,94,74,189,29,10
42,110,81,61,5,42,45,190,52,4
43,160,85,66,4,10,93,147,42,5
44,135,70,62,8,8,45,189,29,7
45,128,79,65,5,53,53,180,30,4
46,114,64,80,3,97,73,175,47,5
47,196,90,39,4,91,47,182,45,41
48,127,93,81,1,87,92,216,41,4
49,174,96,59,2,32,83,154,32,8
50,130,91,71,5,71,69,179,56,7
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,150,63,34,7,7,35,241,16,4
4,192,62,53,7,29,59,204,5,12
5,67,47,59,9,51,90,126,61,5
6,202,60,24,8,12,78,152,77,4
7,120,42,75,8,7,81,131,64,4
8,147,61,33,11,77,40,214,32,3
9,162,56,66,9,8,85,183,50,5
10,142,26,65,13,36,84,155,90,6
11,95,51,77,9,7,77,228,32,3
12,79,21,32,15,14,21,192,92,3
13,131,16,32,16,34,25,177,67,4
14,134,24,45,14,18,70,117,91,4
15,75,18,44,9,32,34,171,96,4
16,117,59,90,7,79,64,197,10,6
17,160,81,51,5,21,69,230,0,5
18,129,84,67,4,11,84,126,61,3
19,113,28,73,12,12,72,156,76,6
20,127,78,57,7,11,70,153,2,3
21,115,64,60,7,10,35,223,16,4
22,95,27,47,17,14,58,129,90,4
23,152,72,68,11,8,96,166,81,9
24,96,78,75,6,28,77,171,5,14
25,146,57,73,6,5,61,201,2,10
26,140,93,53,6,31,82,272,10,4
27,131,42,31,9,8,24,242,13,3
28,119,65,32,6,24,47,272,50,3
29,140,67,36,8,73,41,268,36,5
30,108,48,74,12,36,95,263,19,3
31,149,86,49,7,35,96,182,53,4
32,147,76,69,5,18,96,144,42,3
33,115,37,45,14,8,63,134,83,4
34,114,57,58,5,27,68,174,74,4
35,93,22,33,11,34,36,207,88,3
36,129,71,58,8,82,61,181,26,5
37,102,34,55,10,11,66,85,82,3
38,102,25,57,15,20,41,166,81,3
39,140,37,67,13,10,86,133,59,3
40,180,58,51,11,18,87,242,36,4
41,151,43,61,9,9,74,122,86,4
42,126,76,34,7,8,36,166,39,5
43,110,10,61,14,8,34,136,80,4
44,167,54,48,10,8,82,147,24,4
45,130,20,47,16,5,54,144,88,6
46,82,11,25,14,16,15,268,94,3
47,92,77,53,7,32,85,181,40,3
48,123,40,59,7,4,42,172,79,5
49,123,58,71,6,14,83,162,70,6
50,102,71,76,10,8,96,224,16,3
1,98,59,82,6,15,51,209,69,9
2,150,63,34,7,7,35,241,16,4
3,105,72,72,7,24,67,222,3,7
4,101,72,80,3,6,57,201,30,30
5,92,67,89,4,10,53,192,4,19
6,105,81,79,4,8,61,302,8,9
7,94,70,88,4,6,79,200,14,7
8,176,65,75,6,11,43,243,15,32
9,80,84,73,5,18,62,271,2,7
10,176,62,61,5,24,24,251,60,31
11,120,42,75,8,7,81,131,64,4
12,105,67,82,6,10,66,215,5,8
13,94,90,66,3,12,71,211,5,4
14,92,73,73,3,10,88,217,22,4
15,176,82,73,2,23,68,216,3,15
16,174,64,73,4,14,55,205,9,13
17,146,83,73,3,7,94,179,27,5
18,92,76,78,3,14,58,201,46,23
19,182,67,65,6,8,34,250,47,31
20,92,79,81,4,9,58,309,14,7
21,170,71,74,4,8,83,259,5,9
22,176,79,73,2,6,76,288,7,20
23,93,79,64,4,36,94,222,3,25
24,166,72,80,4,18,76,305,14,8
25,88,65,75,3,11,48,233,11,7
26,94,67,82,6,13,77,332,44,30
27,92,60,70,6,10,41,254,16,30
28,149,86,49,7,35,96,182,53,4
29,96,65,86,4,8,55,268,39,10
30,180,72,70,6,9,78,175,23,9
31,93,22,33,11,34,36,207,88,3
32,88,67,88,3,7,68,227,11,11
33,100,75,90,7,29,74,464,37,16
34,100,72,76,5,13,20,252,7,12
35,174,76,71,4,37,72,219,27,29
36,151,43,61,9,9,74,122,86,4
37,172,72,68,4,11,79,173,54,6
38,75,68,67,6,18,62,183,13,32
39,184,89,69,2,10,62,242,29,12
40,118,73,94,8,18,72,218,15,25
41,92,78,80,4,44,80,266,36,4
42,90,71,85,5,34,60,247,4,9
43,94,75,87,6,4,77,220,12,7
44,176,80,71,3,25,72,221,37,22
45,174,90,70,3,18,82,189,20,6
46,95,72,80,6,17,51,195,15,5
47,170,85,52,2,33,72,116,38,19
48,173,84,52,4,16,75,155,36,15
49,94,71,65,4,5,69,254,37,3
50,90,40,36,11,7,18,212,73,3
1,98,59,82,6,15,51,209,69,9
2,105,72,72,7,24,67,222,3,7
3,101,72,80,3,6,57,201,30,30
4,105,81,79,4,8,61,302,8,9
5,92,67,89,4,10,53,192,4,19
6,94,70,88,4,6,79,200,14,7
7,176,65,75,6,11,43,243,15,32
8,176,62,61,5,24,24,251,60,31
9,80,84,73,5,18,62,271,2,7
10,105,67,82,6,10,66,215,5,8
11,94,90,66,3,12,71,211,5,4
12,176,82,73,2,23,68,216,3,15
13,95,75,74,5,11,90,217,18,5
